id,name,origin,temperament,life_span,image_url
abys,Abyssinian,Egypt,"['Active', 'Energetic', 'Independent', 'Intelligent', 'Gentle']",14 - 15,https://cdn2.thecatapi.com/images/aae.jpg
aege,Aegean,Greece,"['Affectionate', 'Social', 'Intelligent', 'Playful', 'Active']",9 - 12,https://cdn2.thecatapi.com/images/aae.jpg
abob,American Bobtail,United States,"['Intelligent', 'Interactive', 'Lively', 'Playful', 'Sensitive']",11 - 15,https://cdn2.thecatapi.com/images/aae.jpg
acur,American Curl,United States,"['Affectionate', 'Curious', 'Intelligent', 'Interactive', 'Lively', 'Playful', 'Social']",12 - 16,https://cdn2.thecatapi.com/images/aae.jpg
asho,American Shorthair,United States,"['Active', 'Curious', 'Easy Going', 'Playful', 'Calm']",15 - 17,https://cdn2.thecatapi.com/images/aae.jpg
awir,American Wirehair,United States,"['Affectionate', 'Curious', 'Gentle', 'Intelligent', 'Interactive', 'Lively', 'Loyal', 'Playful', 'Sensible', 'Social']",14 - 18,https://cdn2.thecatapi.com/images/aae.jpg
amau,Arabian Mau,United Arab Emirates,"['Affectionate', 'Agile', 'Curious', 'Independent', 'Playful', 'Loyal']",12 - 14,https://cdn2.thecatapi.com/images/aae.jpg
amis,Australian Mist,Australia,"['Lively', 'Social', 'Fun-loving', 'Relaxed', 'Affectionate']",12 - 16,https://cdn2.thecatapi.com/images/aae.jpg
bali,Balinese,United States,"['Affectionate', 'Intelligent', 'Playful']",10 - 15,https://cdn2.thecatapi.com/images/aae.jpg
bamb,Bambino,United States,"['Affectionate', 'Lively', 'Friendly', 'Intelligent']",12 - 14,https://cdn2.thecatapi.com/images/aae.jpg
beng,Bengal,United States,"['Alert', 'Agile', 'Energetic', 'Demanding', 'Intelligent']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
birm,Birman,France,"['Affectionate', 'Active', 'Gentle', 'Social']",14 - 15,https://cdn2.thecatapi.com/images/aae.jpg
bomb,Bombay,United States,"['Affectionate', 'Dependent', 'Gentle', 'Intelligent', 'Playful']",12 - 16,https://cdn2.thecatapi.com/images/aae.jpg
bslo,British Longhair,United Kingdom,"['Affectionate', 'Easy Going', 'Independent', 'Intelligent', 'Loyal', 'Social']",12 - 14,https://cdn2.thecatapi.com/images/aae.jpg
bsho,British Shorthair,United Kingdom,"['Affectionate', 'Easy Going', 'Gentle', 'Loyal', 'Patient', 'calm']",12 - 17,https://cdn2.thecatapi.com/images/aae.jpg
bure,Burmese,Burma,"['Curious', 'Intelligent', 'Gentle', 'Social', 'Interactive', 'Playful', 'Lively']",15 - 16,https://cdn2.thecatapi.com/images/aae.jpg
buri,Burmilla,United Kingdom,"['Easy Going', 'Friendly', 'Intelligent', 'Lively', 'Playful', 'Social']",10 - 15,https://cdn2.thecatapi.com/images/aae.jpg
cspa,California Spangled,United States,"['Affectionate', 'Curious', 'Intelligent', 'Loyal', 'Social']",10 - 14,https://cdn2.thecatapi.com/images/aae.jpg
ctif,Chantilly-Tiffany,United States,"['Affectionate', 'Demanding', 'Interactive', 'Loyal']",14 - 16,https://cdn2.thecatapi.com/images/aae.jpg
char,Chartreux,France,"['Affectionate', 'Loyal', 'Intelligent', 'Social', 'Lively', 'Playful']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
chau,Chausie,Egypt,"['Affectionate', 'Intelligent', 'Playful', 'Social']",12 - 14,https://cdn2.thecatapi.com/images/aae.jpg
chee,Cheetoh,United States,"['Affectionate', 'Gentle', 'Intelligent', 'Social']",12 - 14,https://cdn2.thecatapi.com/images/aae.jpg
csho,Colorpoint Shorthair,United States,"['Affectionate', 'Intelligent', 'Playful', 'Social']",12 - 16,https://cdn2.thecatapi.com/images/aae.jpg
crex,Cornish Rex,United Kingdom,"['Affectionate', 'Intelligent', 'Active', 'Curious', 'Playful']",11 - 14,https://cdn2.thecatapi.com/images/aae.jpg
cymr,Cymric,Canada,"['Gentle', 'Loyal', 'Intelligent', 'Playful']",8 - 14,https://cdn2.thecatapi.com/images/aae.jpg
cypr,Cyprus,Cyprus,"['Affectionate', 'Social']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
drex,Devon Rex,United Kingdom,"['Highly interactive', 'Mischievous', 'Loyal', 'Social', 'Playful']",10 - 15,https://cdn2.thecatapi.com/images/aae.jpg
dons,Donskoy,Russia,"['Playful', 'affectionate', 'loyal', 'social']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
lihu,Dragon Li,China,"['Intelligent', 'Friendly', 'Gentle', 'Loving', 'Loyal']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
emau,Egyptian Mau,Egypt,"['Agile', 'Dependent', 'Gentle', 'Intelligent', 'Lively', 'Loyal', 'Playful']",18 - 20,https://cdn2.thecatapi.com/images/aae.jpg
ebur,European Burmese,Burma,"['Sweet', 'Affectionate', 'Loyal']",10 - 15,https://cdn2.thecatapi.com/images/aae.jpg
esho,Exotic Shorthair,United States,"['Affectionate', 'Sweet', 'Loyal', 'Quiet', 'Peaceful']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
hbro,Havana Brown,United Kingdom,"['Affectionate', 'Curious', 'Demanding', 'Friendly', 'Intelligent', 'Playful']",10 - 15,https://cdn2.thecatapi.com/images/aae.jpg
hima,Himalayan,United States,"['Dependent', 'Gentle', 'Intelligent', 'Quiet', 'Social']",9 - 15,https://cdn2.thecatapi.com/images/aae.jpg
jbob,Japanese Bobtail,Japan,"['Active', 'Agile', 'Clever', 'Easy Going', 'Intelligent', 'Lively', 'Loyal', 'Playful', 'Social']",14 - 16,https://cdn2.thecatapi.com/images/aae.jpg
java,Javanese,United States,"['Active', 'Devoted', 'Intelligent', 'Playful']",10 - 12,https://cdn2.thecatapi.com/images/aae.jpg
khao,Khao Manee,Thailand,"['Calm', 'Relaxed', 'Talkative', 'Playful', 'Warm']",10 - 12,https://cdn2.thecatapi.com/images/aae.jpg
kora,Korat,Thailand,"['Active', 'Loyal', 'highly intelligent', 'Expressive', 'Trainable']",10 - 15,https://cdn2.thecatapi.com/images/aae.jpg
kuri,Kurilian,Russia,"['Independent', 'highly intelligent', 'clever', 'inquisitive', 'sociable', 'playful', 'trainable']",15 - 20,https://cdn2.thecatapi.com/images/aae.jpg
lape,LaPerm,Thailand,"['Affectionate', 'Friendly', 'Gentle', 'Intelligent', 'Playful', 'Quiet']",10 - 15,https://cdn2.thecatapi.com/images/aae.jpg
mcoo,Maine Coon,United States,"['Adaptable', 'Intelligent', 'Loving', 'Gentle', 'Independent']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
mala,Malayan,United Kingdom,"['Affectionate', 'Interactive', 'Playful', 'Social']",12 - 18,https://cdn2.thecatapi.com/images/aae.jpg
manx,Manx,Isle of Man,"['Easy Going', 'Intelligent', 'Loyal', 'Playful', 'Social']",12 - 14,https://cdn2.thecatapi.com/images/aae.jpg
munc,Munchkin,United States,"['Agile', 'Easy Going', 'Intelligent', 'Playful']",10 - 15,https://cdn2.thecatapi.com/images/aae.jpg
nebe,Nebelung,United States,"['Gentle', 'Quiet', 'Shy', 'Playful']",11 - 16,https://cdn2.thecatapi.com/images/aae.jpg
norw,Norwegian Forest Cat,Norway,"['Sweet', 'Active', 'Intelligent', 'Social', 'Playful', 'Lively', 'Curious']",12 - 16,https://cdn2.thecatapi.com/images/aae.jpg
ocic,Ocicat,United States,"['Active', 'Agile', 'Curious', 'Demanding', 'Friendly', 'Gentle', 'Lively', 'Playful', 'Social']",12 - 14,https://cdn2.thecatapi.com/images/aae.jpg
orie,Oriental,United States,"['Energetic', 'Affectionate', 'Intelligent', 'Social', 'Playful', 'Curious']",12 - 14,https://cdn2.thecatapi.com/images/aae.jpg
pers,Persian,Iran (Persia),"['Affectionate', 'loyal', 'Sedate', 'Quiet']",14 - 15,https://cdn2.thecatapi.com/images/aae.jpg
pixi,Pixie-bob,United States,"['Affectionate', 'Social', 'Intelligent', 'Loyal']",13 - 16,https://cdn2.thecatapi.com/images/aae.jpg
raga,Ragamuffin,United States,"['Affectionate', 'Friendly', 'Gentle', 'Calm']",12 - 16,https://cdn2.thecatapi.com/images/aae.jpg
ragd,Ragdoll,United States,"['Affectionate', 'Friendly', 'Gentle', 'Quiet', 'Easygoing']",12 - 17,https://cdn2.thecatapi.com/images/aae.jpg
rblu,Russian Blue,Russia,"['Active', 'Dependent', 'Easy Going', 'Gentle', 'Intelligent', 'Loyal', 'Playful', 'Quiet']",10 - 16,https://cdn2.thecatapi.com/images/aae.jpg
sava,Savannah,United States,"['Curious', 'Social', 'Intelligent', 'Loyal', 'Outgoing', 'Adventurous', 'Affectionate']",17 - 20,https://cdn2.thecatapi.com/images/aae.jpg
sfol,Scottish Fold,United Kingdom,"['Affectionate', 'Intelligent', 'Loyal', 'Playful', 'Social', 'Sweet', 'Loving']",11 - 14,https://cdn2.thecatapi.com/images/aae.jpg
srex,Selkirk Rex,United States,"['Active', 'Affectionate', 'Dependent', 'Gentle', 'Patient', 'Playful', 'Quiet', 'Social']",14 - 15,https://cdn2.thecatapi.com/images/aae.jpg
siam,Siamese,Thailand,"['Active', 'Agile', 'Clever', 'Sociable', 'Loving', 'Energetic']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
sibe,Siberian,Russia,"['Curious', 'Intelligent', 'Loyal', 'Sweet', 'Agile', 'Playful', 'Affectionate']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
sing,Singapura,Singapore,"['Affectionate', 'Curious', 'Easy Going', 'Intelligent', 'Interactive', 'Lively', 'Loyal']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
snow,Snowshoe,United States,"['Affectionate', 'Social', 'Intelligent', 'Sweet-tempered']",14 - 19,https://cdn2.thecatapi.com/images/aae.jpg
soma,Somali,Somalia,"['Mischievous', 'Tenacious', 'Intelligent', 'Affectionate', 'Gentle', 'Interactive', 'Loyal']",12 - 16,https://cdn2.thecatapi.com/images/aae.jpg
sphy,Sphynx,Canada,"['Loyal', 'Inquisitive', 'Friendly', 'Quiet', 'Gentle']",12 - 14,https://cdn2.thecatapi.com/images/aae.jpg
tonk,Tonkinese,Canada,"['Curious', 'Intelligent', 'Social', 'Lively', 'Outgoing', 'Playful', 'Affectionate']",14 - 16,https://cdn2.thecatapi.com/images/aae.jpg
toyg,Toyger,United States,"['Playful', 'Social', 'Intelligent']",12 - 15,https://cdn2.thecatapi.com/images/aae.jpg
tang,Turkish Angora,Turkey,"['Affectionate', 'Agile', 'Clever', 'Gentle', 'Intelligent', 'Playful', 'Social']",15 - 18,https://cdn2.thecatapi.com/images/aae.jpg
tvan,Turkish Van,Turkey,"['Agile', 'Intelligent', 'Loyal', 'Playful', 'Energetic']",12 - 17,https://cdn2.thecatapi.com/images/aae.jpg
ycho,York Chocolate,United States,"['Playful', 'Social', 'Intelligent', 'Curious', 'Friendly']",13 - 15,https://cdn2.thecatapi.com/images/aae.jpg
